datetime,lat,long,pm2_5,pm10,no2,co,so2,o3,temp_c,wind,humidity,AQI
2025-02-11 05:30:00,23.515,87.35,74.34988448695941,79.288,48.6,913.0,29.6,6.0,16.35,2.5772078,73.97477,148
2025-02-11 06:30:00,23.515,87.35,75.5789532686864,80.52,44.5,962.0,36.0,14.0,17.3,3.5455887,65.18261,152
2025-02-11 07:30:00,23.515,87.35,74.3567851138824,78.672005,38.6,1019.0,44.8,27.0,18.9,4.913044,57.017426,148
2025-02-11 08:30:00,23.515,87.35,63.02736474564288,66.352,33.0,999.0,52.0,46.0,22.3,3.572898,46.39303,110
2025-02-11 09:30:00,23.515,87.35,48.305217202136966,53.68,28.0,828.0,56.6,79.0,25.75,3.550155,36.34791,81
2025-02-11 10:30:00,23.515,87.35,39.04619475834153,42.592003,23.3,579.0,59.6,119.0,28.0,3.396233,29.569817,128
2025-02-11 11:30:00,23.515,87.35,35.73912356434375,38.192,19.3,390.0,59.4,149.0,29.6,4.0449963,25.96421,172
2025-02-11 12:30:00,23.515,87.35,33.83350225862662,36.256,16.0,318.0,54.0,162.0,30.85,7.256032,24.085642,191
2025-02-11 13:30:00,23.515,87.35,32.77197128246157,35.024,13.6,305.0,45.5,165.0,31.35,11.052058,23.40891,196
2025-02-11 14:30:00,23.515,87.35,28.995776727736807,34.144,12.5,312.0,37.9,161.0,31.45,12.791403,22.961626,190
2025-02-11 15:30:00,23.515,87.35,25.410215328945892,33.087997,13.2,313.0,32.5,149.0,31.2,13.32,22.66395,172
2025-02-11 16:30:00,23.515,87.35,24.039841135540964,32.032,15.2,334.0,28.0,131.0,30.45,12.81165,24.642939,146
2025-02-11 17:30:00,23.515,87.35,27.57334942339823,34.32,26.4,418.0,41.0,122.0,29.0,7.748368,27.154888,132
2025-02-11 18:30:00,23.515,87.35,40.89654692414098,46.727997,32.6,638.0,43.6,108.0,27.1,4.2021427,31.063223,112
2025-02-11 19:30:00,23.515,87.35,54.40457950811947,60.895996,41.3,922.0,47.0,88.0,26.25,6.1226463,33.665546,91
