datetime,lat,long,pm2_5,pm10,no2,co,so2,o3,temp_c,wind,humidity,AQI
2025-02-11 05:30:00,23.55,87.27,103.18997543137365,109.922,48.6,1031.0,39.960003,6.0,15.75,3.1072817,72.41343,244
2025-02-11 06:30:00,23.55,87.27,104.45182747108885,111.630005,44.5,955.0,48.600002,14.0,16.2,3.6447225,69.66386,248
2025-02-11 07:30:00,23.55,87.27,102.94495690570035,109.068,38.6,810.0,60.48,27.0,18.45,5.2478566,60.43108,243
2025-02-11 08:30:00,23.55,87.27,86.06721473372046,91.98801,33.0,673.0,70.200005,46.0,21.85,3.8268526,50.29073,187
2025-02-11 09:30:00,23.55,87.27,67.69314786337243,74.42,28.0,561.0,76.409996,79.0,25.35,3.494968,39.135643,126
2025-02-11 10:30:00,23.55,87.27,53.68337313228573,59.048004,23.3,456.0,80.46,119.0,27.7,3.693291,32.081814,128
2025-02-11 11:30:00,23.55,87.27,49.95234285771223,52.948,19.3,377.0,80.19,149.0,29.35,5.1544156,28.090803,172
2025-02-11 12:30:00,23.55,87.27,46.92234896154278,50.264004,16.0,336.0,72.9,162.0,30.45,9.016185,26.636969,191
2025-02-11 13:30:00,23.55,87.27,44.817062853858474,48.556,13.6,321.0,61.425,165.0,30.95,11.173057,25.712563,196
2025-02-11 14:30:00,23.55,87.27,40.884585053498085,47.336,12.5,314.0,51.165005,161.0,31.1,12.245294,24.315401,190
2025-02-11 15:30:00,23.55,87.27,35.49084145891808,45.871998,13.2,301.0,43.875,149.0,30.75,12.785069,24.722038,172
2025-02-11 16:30:00,23.55,87.27,32.39170278806256,44.408005,15.2,296.0,37.8,131.0,30.1,11.570515,25.74697,146
2025-02-11 17:30:00,23.55,87.27,39.80303436222404,47.58,26.4,329.0,55.350002,122.0,27.55,4.39436,32.14779,132
2025-02-11 18:30:00,23.55,87.27,57.635438268974745,64.782,32.6,442.0,58.86,108.0,26.1,2.9024127,35.12769,112
2025-02-11 19:30:00,23.55,87.27,76.38656923446848,84.423996,41.3,592.0,63.45,88.0,24.35,4.6730714,39.246746,155
2025-02-11 20:30:00,23.55,87.27,94.60714070425814,103.090004,48.1,682.0,66.420006,71.0,23.0,5.3517847,44.46364,215
2025-02-11 21:30:00,23.55,87.27,107.56290304943043,117.608,51.5,640.0,66.420006,59.0,21.35,4.5820518,51.168427,259
2025-02-11 22:30:00,23.55,87.27,119.46725143087832,129.808,53.0,537.0,64.53,49.0,20.4,2.36753,55.521763,298
2025-02-11 23:30:00,23.55,87.27,126.59690167285069,135.78601,53.2,488.0,61.559998,40.0,20.25,9.0,55.483856,305
2025-02-12 00:30:00,23.55,87.27,127.29189309686254,137.494,52.3,560.0,56.97,32.0,20.7,10.474082,51.166565,306
2025-02-12 01:30:00,23.55,87.27,125.15906632822917,136.03,50.1,686.0,51.165005,25.0,19.4,5.6521144,51.68363,304
2025-02-12 02:30:00,23.55,87.27,113.39674534568759,124.44,46.9,783.0,46.575,22.0,19.1,1.1525624,51.256767,278
2025-02-12 03:30:00,23.55,87.27,93.19102174951342,105.652,42.3,815.0,43.875,23.0,17.75,3.693291,57.30627,211
2025-02-12 04:30:00,23.55,87.27,78.45151673773802,91.133995,36.7,818.0,42.255,27.0,17.2,2.9024127,59.731163,162
2025-02-12 05:30:00,23.55,87.27,78.47615200703908,94.91601,35.5,816.0,40.365,24.0,17.15,4.5,58.72183,162
2025-02-12 06:30:00,23.55,87.27,73.45256478783028,89.792,32.9,833.0,44.415005,31.0,17.4,2.657668,63.490604,145
2025-02-12 07:30:00,23.55,87.27,70.13364386816635,85.156006,29.2,844.0,49.95,42.0,19.5,4.6800003,56.78743,134
2025-02-12 08:30:00,23.55,87.27,63.631677809497674,78.08,25.5,801.0,55.215004,58.0,23.0,3.1845248,45.97006,112
2025-02-12 09:30:00,23.55,87.27,54.814020531153936,81.496,22.2,653.0,60.21,83.0,26.75,3.693291,35.07557,91
2025-02-12 10:30:00,23.55,87.27,49.12785261861677,91.133995,18.9,450.0,64.935,114.0,29.2,6.193674,25.1605,121
2025-02-12 11:30:00,23.55,87.27,41.87480661794187,92.354,16.1,300.0,66.420006,137.0,30.65,7.1321807,21.096403,154
2025-02-12 12:30:00,23.55,87.27,40.16596304248489,87.718,13.3,251.0,62.235,149.0,31.5,8.049845,20.519112,172
2025-02-12 13:30:00,23.55,87.27,40.14830230702653,80.642,10.9,253.0,55.08,155.0,32.0,10.484902,20.78572,181
2025-02-12 14:30:00,23.55,87.27,40.41020625372463,73.566,10.9,267.0,49.545002,155.0,32.05,13.529966,20.304111,181
2025-02-12 15:30:00,23.55,87.27,39.254366892877705,67.71,14.7,268.0,47.790005,148.0,31.5,14.650939,20.661034,171
2025-02-12 16:30:00,23.55,87.27,40.251921496751336,64.294,20.9,281.0,47.790005,136.0,30.6,12.284916,21.303503,153
2025-02-12 17:30:00,23.55,87.27,47.693777752941415,73.322,27.0,336.0,49.140003,116.0,28.1,3.143565,27.749855,124
2025-02-12 18:30:00,23.55,87.27,68.25639889841449,94.062004,31.6,476.0,51.165005,100.0,26.9,2.0124612,29.265757,128
2025-02-12 19:30:00,23.55,87.27,83.1361810823773,108.214,38.0,658.0,54.0,79.0,25.45,2.5772076,33.44004,177
2025-02-12 20:30:00,23.55,87.27,96.20660570113606,122.976006,43.7,787.0,55.755,60.0,24.1,10.621525,36.992462,221
2025-02-12 21:30:00,23.55,87.27,113.95202678193789,141.76399,47.9,805.0,55.620003,48.0,22.3,1.0948973,52.445526,280
2025-02-12 22:30:00,23.55,87.27,129.18007569285945,156.28201,51.3,770.0,54.540005,38.0,22.45,4.913044,42.559113,307
2025-02-12 23:30:00,23.55,87.27,127.35007379615226,153.354,53.4,754.0,52.65,31.0,21.45,3.4388947,46.003834,306
2025-02-13 00:30:00,23.55,87.27,124.42732223465627,150.548,53.6,798.0,49.95,25.0,20.6,3.143565,53.76029,303
2025-02-13 01:30:00,23.55,87.27,122.17598659022318,147.742,52.4,860.0,46.575,21.0,19.8,3.9312592,60.548798,302
2025-02-13 02:30:00,23.55,87.27,117.31782903689134,142.61801,50.7,894.0,43.065,18.0,19.0,4.1125174,67.29039,291
2025-02-13 03:30:00,23.55,87.27,110.66349952421427,133.468,49.0,873.0,38.070004,16.0,18.6,5.6835546,71.283676,269
2025-02-13 04:30:00,23.55,87.27,103.98489316815846,124.074,46.9,822.0,32.805,15.0,17.7,4.6277857,74.20755,247
2025-02-13 05:30:00,23.55,87.27,87.95216830139009,104.798004,40.8,772.0,36.045002,20.0,17.4,4.991553,71.292984,193
2025-02-13 06:30:00,23.55,87.27,83.04123087039342,97.722,37.9,739.0,43.605,30.0,17.7,5.6492476,73.48363,177
2025-02-13 07:30:00,23.55,87.27,74.48184173128288,84.66801,33.7,707.0,53.73,44.0,19.75,8.913181,59.546806,148
